Clinic-name,Address,Website,Note,Phone-number
Eden Animal Hospital,"1F., No.33, Beian Rd, Lane 554, Zhongshan District, Taipei City",https://eden-vet.com ,Call after 9PM,02-8509-2579
Top Veterinary Hospital,"No. 260, Long Jiang Rd, Zhongshan District, Taipei City",https://www.topvet.topet.net ,Call after 9PM,09-28242358 or 02-2517-0902 
Duke Veterinary Clinic,"No. 117, Sec. 3, Heping E. Rd., Daan Dist., Taipei City",https://www.facebook.com/dukevetclinic ,Call after 12AM,02-8732-4789
Wang's Veterinary Clinic,"No. 217, Jinhua St, Daan District, Taipei City",Facebook Page ,Call before going or contact via Facebook page,02-2357-0217
Loving Kindness Animal Hospital,"No.1, Ningxia Rd, Datong District, Taipei City",https://www.lkah.com.tw/ ,,02-2556-3320
Formosa Vet Center,"1F., No. 247, Minsheng W. Rd., Datong Dist., Taipei City",https://www.formosavetcenter.com ,,02-2553-0371 or 02-2553-0303 
Prospect Vet Emergency Critical Center,"No.2, Section 2, Zhonghua Rd, Wanhua District, Taipei City",https://www.prospect-vet.com ,,02-2388-0122
National Veterinary Hospital(Taipei Branch),"No. 13, Lane 30, Section 1, Jiuzong Rd, Neihu District, Taipei City",https://www.vet.com.tw/en/about.php ,,02-8791-8706
Top Veterinary Hospital(Nanjing branch),"No. 286, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City",http://topvet.topet.net/ ,Call After 9 PM,02-2756-2005
Xintai Animal Hospital,"1F., No. 57, Yanji St., Songshan Dist., Taipei City",http://www.stah.com.tw ,,02-2579-5722
Dacyun Veterinarian 24hr Animal Emergency Hospital,"No. 206, Section 6, Roosevelt Rd, Wenshan District, Taipei City",https://dacyun-vet.tw ,,02-2930-5557
Boulder Yard Animal Hospital,"No. 102, Section 1, Zhongcheng Rd, Shilin District, Taipei City",http://www.boulderyard24.com ,"Provide service for dogs, cats, rodents, and rabbits ",02-2834-1119
Anew Animal Hospital,"1F., No. 238, Jihe Rd., Shilin Dist., Taipei City",https://anewanimalhospital.webnode.tw ,Call After 10PM & Sunday After 5PM,02-2881-0478
Daan Animal Hospital,"1F., No. 162, Sec. 4, Roosevelt Rd., Zhongzheng Dist., Taipei City",https://daan-vet.com ,,02-2363-2020
Mutsun Animal Hospital,"No. 28, Section 2, Zhongshan Rd, Banqiao District, New Taipei City",Facebook Page ,Call after 8PM,02-8951-1172 
Chung Ri Animal Hospital,"No. 2, Section 3, Zhongshan Rd, Zhonghe District, New Taipei City",http://www.unitevet.com ,,02-2226-3639
YaDong Animal Hospital,"2F., No. 639, Zhongshan Rd, Zhonghe District, New Taipei City",https://vet639.url.tw/ ,"Call before going Provide Service for rabbits, rodents, birds, turtles ",0952-605-051
Le Huo Animal Hospital,"No. 21, Lane 66, Zhulin Rd, Yonghe District, New Taipei City",Facebook Page,"Call between 9PM to 2AM, Sunday Off",02-2922-5805
Elite Animal Hospital,"No. 495-9, Minsheng Rd, Taoyuan District, Taoyuan City",https://www.ghanimalcasa.com ,Call After 2AM,03-336-3252
Genki Veterinary Hospital(Sanmin Branch),"No. 381, Section 3, Sanmin Rd, Taoyuan District, Taoyuan City",http://www.genkivet.com.tw ,,03-333-3816
Genki Veterinary Hospital(Yiwen Branch),"No. 156, Section 1, Zhuangjing Rd, Taoyuan District, Taoyuan City",http://www.genkivet.com.tw ,"Provide service for dogs, cats, rodents, and rabbits",03-355-3911
Bisous Animal Hospital,"No. 20, Yanping Rd., Zhongli Dist., Taoyuan City",Facebook Page ,,03-453-5740
Zhu Xin Animal Hospital,"No. 654, Section 1, Jingguo Rd, East District, Hsinchu City",http://www.zhuxin.com.tw/ ,Provide Service from 9PM to 2AM,03-533-8055
Happinesss Animal Hospital,"No. 6, Lane 92, Section 3, Jingguo Rd, Xiangshan District, Hsinchu City, 300 ",Facebook Page ,"Call before going Provide service for rodents, sugar gliders, birds, and reptiles ",03-530-0175
National Veterinary Hospital(Taichung Main Branch),"No. 100, Wuquan 8th St., West Dist., Taichung City",https://www.vet.com.tw/en/about.php ,,04-2371-0496
Lodayu Animal Hospital,"No. 153, Cunzhong St, West Dist., Taichung City",Facebook Page ,Provide service from 9:30PM to 11PM,04-2372-8378
Gleam ways Animal Hospital,"No. 486, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City",Facebook Page ,,04-2320-2279
Kant Animal Hospital,"No. 270, Section 2, Chongde Rd, Beitun District, Taichung City",Facebook Page ,"Call before going & Provide service for dogs, cats, rodents, and rabbits ",04-2241-2700
Muen Animal Hospital,"No. 865, Jianxing Rd, North District, Taichung City, 404",Facebook Page ,Call before going & Sunday Off,04-2207-7271
Loving Kindness Animal Hospital(Taichung Main branch),"No. 539, Sec. 2, Guoguang Rd., Dali Dist., Taichung City",Facebook Page ,,04-2406-6688
Chung Ai Veterinary Hospital,"No. 490, Section 2, Zhongshan Rd, Yuanlin City, Changhua County",https://www.chungai.com.tw/main/View_Service.aspx ,Call before going,04-833-5520
Ho Mu Animal Hospital,"No. 454, Guangfu Rd, Huwei Township, Yunlin County",Facebook Page ,Call before going & Sunday Off,05-633-0811
National Veterinary Hospital(Tainan Branch),"2F., No. 620, Chongde Rd., East Dist., Tainan City",https://www.vet.com.tw/en/about.php ,,06-267-3191
Noah Animal Hospital,"No. 297, Chenggong Rd, West Central District, Tainan City",http://www.ky-animal.com.tw/ ,Call before going & Sunday Off,06-221-7291
Loving Kindness Animal Hospital(Tainan Branch),"No. 437, Sec. 1, Ximen Rd., South Dist., Tainan City",https://www.lkah.com.tw ,,06-220-3166
Alliance Veterinary Hospital(Renwu Main Branch),"No. 231, Fengren Rd., Renwu Dist., Kaohsiung City",https://www.pet100pa.com/vet ,"Emergency service from 9PM to 2AM & Provide service for dogs, cats, rodents, rabbits, hedgehogs, sugar gliders, birds, parrots and reptiles ",07-374-0964 #20
Hung Li Animal Hospital,"No. 326, Mingcheng 1st Rd, Sanmin District, Kaohsiung City",https://www.hunglivet.com/ ,,07-310-2819
Jong-Shing Animal Hospital,"No. 498, Wenfu Rd, Zuoying District, Kaohsiung City",http://www.jsah.com.tw/ ,Provide emergency service from 9:30PM to 2AM ,07-350-2020#431
Udoch Animal Hospital,"No. 139, Zhongzheng 1st Rd, Lingya District, Kaohsiung City",https://udochah.wixsite.com/udoch ,Press the emergency bell at the door if service needed,07-722-0804
GuanAn Animal Hospital,"No. 131-1, Zhongzheng 2nd Rd, Lingya District, Kaohsiung City",,"Call after 9:30PM, Sunday after 5:30PM",07-223-6451
Hope Veterinary Hospital,"No. 100, Kaixuan Rd, Fengshan District, Kaohsiung City",Facebook Page ,Call before going,07-753-7300
MingRen Veterinary Hospital,"No. 7, Ren'ai Rd, Pingtung City, Pingtung County",Facebook Page ,Call before going,08-751-2022
Shanghai Animal Hospital,"No. 63, Shanghai St, Hualien City, Hualien County",,Call before going,03-834-1853